model	branch_length	rate_mass	mean_rate	probability_mass_null	probability_mass_alternative	refined_shift	likelihood_identity_max_error	refined_exact_null_mean	legacy_exact_null_mean
+I+G4	35.0	1.0	0.99999999997	0.9999999999999998	1.0	-1.324910848412699	4.4608681847154927e-14	0.0	0.04980902253081649
+I+G4	40.0	1.0	0.99999999997	0.9999999999999998	1.0	-1.5141838267573706	5.092959745340436e-14	2.7755575615628914e-17	0.046804745777860646
+I+G4	45.0	1.0	0.99999999997	0.9999999999999998	1.0	-1.7034568051020418	5.710456758877599e-14	-3.469446951953614e-17	0.04445322904754651
+I+G4	50.0	1.0	0.99999999997	0.9999999999999998	1.0	-1.8927297834467132	6.353399658589817e-14	2.7755575615628914e-17	0.04260834824863492
+I+G4	60.0	1.0	0.99999999997	0.9999999999999998	1.0	-2.2712757401360557	7.602082754531309e-14	1.3877787807814457e-17	0.04001441890116213
+I+G4	75.0	1.0	0.99999999997	0.9999999999999998	1.0	-2.83909467517007	9.48776905869734e-14	-1.3877787807814457e-17	0.03782940850710466
+I+G4	100.0	1.0	0.99999999997	0.9999999999999998	1.0	-3.7854595668934263	1.2647980650520114e-13	2.0816681711721685e-17	0.03631837214568093
+I+G4	150.0	1.0	0.99999999997	0.9999999999999998	0.9999999999999999	-5.67818935034014	1.8935401111787943e-13	1.0408340855860843e-17	0.03563976522511491
+I+G4	200.0	1.0	0.99999999997	0.9999999999999998	1.0	-7.570919133786853	2.518028722428457e-13	1.0408340855860843e-17	0.03555325930394802
+I+G4	500.0	1.0	0.99999999997	0.9999999999999998	1.0000000000000002	-18.92729783446713	6.292462531159907e-13	1.3877787807814457e-17	0.03553906515561068
+I+G4	1000.0	1.0	0.99999999997	0.9999999999999998	1.0	-37.85459566893426	1.2583267761101524e-12	1.0408340855860843e-17	0.03553906499683805
+I+G4	10000.0	1.0	0.99999999997	0.9999999999999998	0.9999999999999998	-378.54595668934263	1.2577383579071011e-11	0.0	0.03553906499683805
+I+R4	0.5	1.0	0.9999999999820001	1.0	1.0	-0.042384114637188226	1.9984014443252818e-15	1.3877787807814457e-17	0.21762512788648977
+I+R4	1.0	1.0	0.9999999999820001	1.0	1.0	-0.08476822927437645	2.6645352591003757e-15	0.0	0.18250740877993105
+I+R4	2.0	1.0	0.9999999999820001	1.0	1.0	-0.1695364585487529	3.9170056087556304e-15	1.249000902703301e-16	0.14592771215082792
+I+R4	3.0	1.0	0.9999999999820001	1.0	1.0	-0.2543046878231293	5.4322865650213714e-15	0.0	0.12559047268318213
+I+R4	4.0	1.0	0.9999999999820001	1.0	1.0	-0.3390729170975058	6.841749389252527e-15	0.0	0.11189286767396761
+I+R4	5.0	1.0	0.9999999999820001	1.0	1.0	-0.4238411463718823	8.21478302048817e-15	6.938893903907228e-18	0.10167107971313688
+I+R4	7.5	1.0	0.9999999999820001	1.0	1.0	-0.6357617195578233	1.2454013514906492e-14	4.163336342344337e-17	0.0838548610745664
+I+R4	10.0	1.0	0.9999999999820001	1.0	1.0	-0.8476822927437646	1.6177502588400616e-14	-1.3877787807814457e-17	0.07182439245763844
+I+R4	12.5	1.0	0.9999999999820001	1.0	1.0	-1.0596028659297057	2.0064150536326653e-14	0.0	0.06307507498907353
+I+R4	15.0	1.0	0.9999999999820001	1.0	1.0	-1.2715234391156467	2.4002772425896213e-14	-6.245004513516506e-17	0.056543767651370286
+I+R4	17.5	1.0	0.9999999999820001	1.0	1.0	-1.483444012301588	2.7711340166991505e-14	4.85722573273506e-17	0.051616078467854425
+I+R4	20.0	1.0	0.9999999999820001	1.0	1.0	-1.6953645854875292	3.1491451698943684e-14	1.3877787807814457e-17	0.04787758698583448
+I+R4	22.5	1.0	0.9999999999820001	1.0	1.0000000000000002	-1.90728515867347	3.538421183661711e-14	-6.938893903907228e-18	0.04503049314215665
+I+R4	25.0	1.0	0.9999999999820001	1.0	1.0	-2.1192057318594113	3.951017030906501e-14	-6.938893903907228e-18	0.04285533866282408
