model	branch_length	nsites	sample	rule	replicates	refined_fraction	legacy_fraction	refined_minus_legacy	paired_bootstrap_ci_low	paired_bootstrap_ci_high	refined_only	legacy_only	agreement	mean_delta_z	mean_delta_z_ci_low	mean_delta_z_ci_high	median_delta_z	delta_z_q10	delta_z_q90	mean_delta_decision_margin	mean_delta_decision_margin_ci_low	mean_delta_decision_margin_ci_high	median_delta_decision_margin
+I+G4	1.0	1000	null_heldout	calibrated	10000	0.0526	0.0554	-0.002799999999999997	-0.0043	-0.0014	13	41	0.9946	-5.362467790955973	-5.364510603659089	-5.3604249782528575	-5.360460235044666	-5.4982321038835735	-5.231356919611287	-0.1304846865281138	-0.13252749923122992	-0.12844187382499767	-0.12847713061680732
+I+G4	1.0	1000	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-3.7732628274206754	-3.7750269125217186	-3.7714987423196322	-3.77655029233979	-3.9329659295418664	-3.608157928287176	1.4587202770071834	1.4569561919061402	1.4604843621082266	1.4554328120880689
+I+G4	1.0	5000	null_heldout	nominal	10000	0.0484	1.0	-0.9516	-0.9558	-0.9473	0	9516	0.0484	-11.994378965776807	-11.996385350326891	-11.992372581226723	-11.993184694359222	-12.126039381814255	-11.863764526283644	-11.994378965776809	-11.996385350326893	-11.992372581226725	-11.993184694359222
+I+G4	1.0	5000	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-8.443833244407209	-8.445604613245406	-8.442061875569012	-8.446148625953931	-8.60607746424559	-8.27759382688801	-8.443833244407212	-8.44560461324541	-8.442061875569015	-8.446148625953933
+I+G4	1.0	5000	null_heldout	calibrated	10000	0.0481	0.0487	-0.0006000000000000033	-0.0019	0.0007	19	25	0.9956	-11.994378965776807	-11.996385350326891	-11.992372581226723	-11.993184694359222	-12.126039381814255	-11.863764526283644	-0.13623992088976705	-0.13824630543985036	-0.13423353633968374	-0.13504564947218078
+I+G4	1.0	5000	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-8.443833244407209	-8.445604613245406	-8.442061875569012	-8.446148625953931	-8.60607746424559	-8.27759382688801	3.41430580047983	3.4125344316416335	3.4160771693180267	3.41199041893311
+I+G4	1.0	10000	null_heldout	nominal	10000	0.0499	1.0	-0.9501	-0.9545	-0.9457	0	9501	0.0499	-16.96333005515793	-16.965361559506356	-16.961298550809502	-16.963635357628874	-17.096783680373818	-16.83182926348345	-16.963330055157925	-16.965361559506352	-16.9612985508095	-16.963635357628867
+I+G4	1.0	10000	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-11.944636611896309	-11.946384030311597	-11.94288919348102	-11.945783659154714	-12.106014078909002	-11.78115001846954	-11.94463661189631	-11.946384030311599	-11.942889193481022	-11.945783659154715
+I+G4	1.0	10000	null_heldout	calibrated	10000	0.0511	0.0497	0.0013999999999999985	0.0001	0.0027	29	15	0.9956	-16.96333005515793	-16.965361559506356	-16.961298550809502	-16.963635357628874	-17.096783680373818	-16.83182926348345	-0.13186957198228502	-0.13390107633071077	-0.12983806763385927	-0.13217487445322895
+I+G4	1.0	10000	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-11.944636611896309	-11.946384030311597	-11.94288919348102	-11.945783659154714	-12.106014078909002	-11.78115001846954	4.88682387127933	4.885076452864042	4.888571289694618	4.885676824020926
